model	task	layer	num_records	first_token_jsd	first_token_kl_full_to_pruned	first_token_kl_pruned_to_full	generation_mean_jsd	generation_mean_kl_full_to_pruned	generation_mean_kl_pruned_to_full	performance_Bleu_1	performance_Bleu_2	performance_Bleu_3	performance_Bleu_4	performance_CIDEr	performance_METEOR	performance_ROUGE_L	summary_path
llava-v1.5-7b	refcoco	10	500	0.06261833062767982	0.38488311326503755	0.2523681693896651	0.051355116746388374	0.3011261636689305	0.2289544769115746	0.17588605498503615	0.05542784049483445	0.011501995659369985	1.000438637457455e-06	0.2492896381254134	0.10711441345673614	0.1973144298280717	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_10/layer_summary.json
llava-v1.5-7b	refcoco	11	500	0.06812057043984532	0.40349818755686284	0.28619647677242754	0.05407938507106155	0.31045409674197433	0.24580191092565656	0.16518883415429714	0.05158677508417134	0.01866886076594887	0.009579960987580367	0.2393357367723583	0.1003567709766893	0.18508201969899188	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_11/layer_summary.json
llava-v1.5-7b	refcoco	12	500	0.05439925221912563	0.3326760519593954	0.21388671408593654	0.04415423234552145	0.25763706094026567	0.19105256233364343	0.19080234833653267	0.06898481734961452	0.016639319923955297	1.3096454533900252e-06	0.2984953294725461	0.11533837360578988	0.21817157566562492	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_12/layer_summary.json
llava-v1.5-7b	refcoco	13	500	0.06012898217141628	0.3456407459527254	0.24989077102392912	0.045859005865640935	0.2562130052670836	0.21027822418883443	0.1697068403908242	0.05328651772745637	0.013999035346325515	1.1497374281640326e-06	0.26657200025019306	0.1066916688136131	0.2010958531773314	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_13/layer_summary.json
llava-v1.5-7b	refcoco	14	500	0.038801592929288746	0.2099632364884019	0.15255980622768403	0.03128930717520416	0.16844257904216647	0.13403100422024727	0.179953688388958	0.06487057640023508	0.023196206184779383	1.6919508560300232e-06	0.28257559206275096	0.10920499609320765	0.20390365538448618	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_14/layer_summary.json
llava-v1.5-7b	refcoco	15	500	0.04656517069227994	0.26976132760196925	0.18200859133154154	0.03466346019878983	0.1940069464854896	0.14707039320468904	0.18112329677627745	0.06470693417878041	0.018422461386692342	1.4267189551510195e-06	0.28973423980875007	0.11183245045265924	0.2097449576645036	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_15/layer_summary.json
llava-v1.5-7b	refcoco	16	500	0.0402945901080966	0.2213064807727933	0.15749206436425447	0.029445208833552897	0.16046803340315818	0.12331213744357228	0.1932088285228546	0.07055768556728172	0.026167106131764036	0.012548947692593236	0.32135819649314223	0.11789171078790972	0.22252426834422576	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_16/layer_summary.json
llava-v1.5-7b	refcoco	17	500	0.030105164204724134	0.16059194026887416	0.11695566502586006	0.025141356077510862	0.13630503244698047	0.10787611137330531	0.18985606579842706	0.069206838106764	0.027133957052839525	0.012956070160355812	0.32117232554502595	0.11837703011760639	0.21497069279878858	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_17/layer_summary.json
llava-v1.5-7b	refcoco	18	500	0.03059796522744	0.16387962982058524	0.11833848818391561	0.03041773286741227	0.16498989551514387	0.13195191195048392	0.1888775856221808	0.07347588719991839	0.02808811589814531	0.014635419445403704	0.301838822868899	0.11555963249162701	0.21899248275938651	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_18/layer_summary.json
llava-v1.5-7b	refcoco	19	500	0.02322947515267879	0.1142836339585483	0.09135174783691764	0.020873301230370997	0.10628267686069012	0.08494525796733797	0.19577800476670215	0.08016765460087932	0.03414679865498751	0.015342841628774317	0.349564458496677	0.12218696217164704	0.22146062918416778	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_19/layer_summary.json
